Tract,Cluster,Caucasians,Latinos,African Americans,Others,Non US Citizens,US Citizens,Unemplyment Rate,Employment Rate,Poverty Rate,High School Graduates,Undergraduate Graduates,Professional Graduates,Median Income Rate
500,6,75.14987429897505,9.359891703732353,19.37729646103268,1.3923805840263006,6.4784374395668145,92.05182749951653,3.7442396313364057,96.2557603686636,31.289885902146587,10.017404757300328,19.68671436859408,17.559466254109456,0.7857142857142857
200,5,75.08619397391695,10.178384050367262,16.204467096387347,0.749512816669165,3.13296357367711,95.51791335631839,8.866396761133604,91.1336032388664,53.48523459751162,9.17403687603058,2.443411782341478,4.871833308349573,0.10714285714285714
1902,1,53.352130325814535,5.827067669172933,43.703007518796994,0.40726817042606517,2.130325814536341,93.64035087719299,0,100,37.62531328320802,21.459899749373434,1.5037593984962405,2.098997493734336,0.21428571428571427
1202,3,74.94869339170886,11.478998495006158,11.79367902585853,0.9166780681351758,2.2848542892324533,93.40539061431112,3.591585428424833,96.40841457157516,8.537419619647011,16.62334108633192,19.67437405937885,15.186756054179778,0.9285714285714286
1100,3,82.13635727285454,7.699846003079938,9.085818283634328,0.3079938401231975,4.199916001679966,92.79014419711606,0,100,8.651826963460731,9.197816043679126,18.241635167296653,26.26347473050539,0.9642857142857143
302,1,68.24583866837388,18.437900128040972,16.645326504481435,2.518139137857448,1.3230900554844216,97.26845924029023,18.117977528089888,81.88202247191012,20.102432778489117,21.68160478019633,11.139564660691422,6.530089628681178,0.75
1201,1,71.35340543700673,13.446360713241742,14.030985092078339,2.104647763811751,2.075416544869921,93.04296989184449,6.688417618270799,93.3115823817292,6.840105232388191,13.855597778427361,15.726395790704473,16.45717626425022,0.8571428571428571
1000,2,91.33309506790565,15.922087205146534,2.1622587562544675,1.0007147962830594,1.34024303073624,97.90922087205146,6.859009254218835,93.14099074578117,44.33523945675483,4.378127233738384,10.829163688348821,20.836311651179415,0.32142857142857145
1521,1,62.78079924331993,17.001655237644833,21.494443130763774,0.4729250413809411,8.536296996925987,89.5483565854812,2.945657694261046,97.05434230573896,40.45873729013951,8.985575786237881,10.238827145897375,7.0702293686450695,0.4642857142857143
301,3,49.598163030998855,7.669345579793341,41.836969001148105,0.6199770378874856,2.020665901262916,95.10907003444316,8.08940926024481,91.9105907397552,30.08036739380023,11.871412169919633,18.96670493685419,8.610792192881744,0.6071428571428571
400,3,35.89782118707738,7.783621337340346,50.54845980465815,0,2.4192336589030803,97.00976709241172,11.541632316570487,88.45836768342951,26.68670172802404,17.565740045078886,10.653643876784372,6.746806912096169,0.6785714285714286
600,1,5.582290664100096,0.7314725697786333,88.04619826756496,0,1.4629451395572666,97.90182868142445,27.623762376237625,72.37623762376238,34.20596727622714,19.942252165543792,5.948026948989413,1.2704523580365736,0.5714285714285714
808,1,58.97125567322239,14.130105900151285,21.45234493192133,0.5748865355521936,11.195158850226928,86.56580937972768,6.881077038145101,93.11892296185489,37.367624810892586,13.434190620272314,13.645990922844176,14.462934947049924,0.5357142857142857
806,1,65.5758077879039,8.533554266777134,9.569179784589892,0.6213753106876554,19.221209610604806,79.70173985086993,8.655804480651732,91.34419551934828,40.51367025683513,6.545153272576636,8.782104391052195,22.07953603976802,0.39285714285714285
1203,1,67.1089779785432,5.787690570299266,19.395821569734615,0.5081874647092038,3.896103896103896,95.03105590062111,0,100,22.473178994918126,10.559006211180124,15.132693393562958,19.1699604743083,0.8928571428571429
1516,1,55.06091846298032,10.918462980318651,18.36925960637301,0.6091846298031866,10.777881911902531,86.97282099343956,4.540867810292633,95.45913218970736,54.35801312089972,12.32427366447985,13.30834114339269,8.903467666354265,0.25
1517,1,72.1473133427249,13.80559468705977,8.854900382370698,2.1533507748037835,14.208090158985712,76.95713423223988,5.012165450121654,94.98783454987834,44.67699738377943,4.004829945663111,18.63554035017106,10.183135439726303,0.42857142857142855
1803,1,67.67454645409566,6.468755726589701,21.403701667582922,0.7146783947223749,2.638812534359538,94.81400036650174,18.102613746369798,81.8973862536302,11.379879054425508,18.526663001649258,14.165292285138355,10.097122961334067,0.8214285714285714
1519,1,47.75808133472367,10.218978102189782,19.117135905457072,0.7646854362182829,30.552659019812303,68.89120611748349,14.063604240282686,85.93639575971731,65.4153632255822,4.657629475147723,17.101147028154326,10.531803962460897,0.14285714285714285
1514,1,75.14413837283793,11.402946828955798,11.210762331838565,2.690582959641256,5.1249199231262015,93.59385009609225,5.040650406504065,94.95934959349593,45.8680333119795,8.263933376040999,12.171684817424728,22.99807815502883,0.6428571428571429
902,1,77.02361503044705,17.005792365958712,9.104411109460864,0.6683499183127878,3.9061339670280706,92.8709342046636,20.184790334044067,79.81520966595593,0.1485222040695084,0.5198277142432793,0.1485222040695084,0.5940888162780336,0.03571428571428571
1603,1,74.91479209270621,10.156782549420587,17.38241308793456,0,6.612133605998637,91.88820722563054,4.513888888888889,95.48611111111111,29.10702113156101,10.838445807770961,15.541922290388548,15.74642126789366,0.35714285714285715
1515,1,63.68350297676205,14.787785673132323,16.765892068369503,1.9781063952371807,9.08392548492414,88.15056654503553,13.779527559055119,86.22047244094489,52.7174956788938,8.23890916074515,9.81371231035145,8.23890916074515,0.2857142857142857
1604,4,82.8023127075901,13.027432648542256,8.119079837618404,0.7380981670562184,9.152417271497109,89.1745602165088,2.579737335834897,97.42026266416511,37.98745233116004,6.433755689506705,10.382580883257473,11.846475581252307,0.5
1520,1,66.41823761508111,19.552827707145987,19.903551074090313,0.30688294607628236,22.884699693117053,75.40552389302937,5.46021840873635,94.53978159126365,63.9193336256028,12.319158263919334,11.968434896975012,3.814116615519509,0.17857142857142858
901,1,69.68074150360454,14.129763130792997,12.028836251287332,0.4325437693099897,12.729145211122555,84.59320288362512,13.658070678127984,86.34192932187202,5.993820803295572,0.411946446961895,1.6065911431513904,6.714727085478888,0.07142857142857142
809,1,62.7944760357433,10.722989439480097,19.902518277822907,1.2997562956945572,12.591389114541023,82.77822908204712,11.074918566775244,88.92508143322476,24.61413484971568,16.246953696181965,19.983753046303818,16.653127538586514,0.7142857142857143
